TRANSACTION DATE, TRANSACTION TIME, TRANSACTION ID, USER ID, IP ADDRESS, STATE OF ORIGIN, AMOUNT, CURRENCY, NUMBER OF TOKENS PURCHASED
2019/1/18, 8:58:38, PAY-9NP00416W3568803ULRAZKPQ, 4, 117.234.95.229, INDIA, 144.65, USD, 500
2019/1/18, 9:0:6, PAY-1MH64035UU514593ULRAZLFQ, 4, 103.41.26.50, INDIA, 144.65, USD, 500
2019/1/18, 10:6:34, PAY-19768688SY5154807LRA2KKQ, 4, 103.41.26.50, INDIA, 0.34, USD, 1
2019/1/18, 10:7:14, PAY-9W429060SN563564XLRA2KUQ, 4, 103.41.26.50, INDIA, 0.34, USD, 1
2019/1/18, 10:16:42, PAY-1XG40025JX414470NLRA2PCI, 4, 103.41.26.50, INDIA, 0.34, USD, 1
